image,prompt,path
0099.png,"there is a dog that is playing with a dog on the beach, black and white cinematography, roaring mutant goat monster, inspired by Sir Alfred Munnings, taken with sony alpha 9, a surrealistic bird, 2010s, by Christopher Williams, maryport, 2009, clowns boxing, screengrab, super slowmotion, # film, llama",me trying to wake up2.csv
0048.png,"there are two people that are laying down on the ground, steel bull run, slightly blurred, stillframe, good against evil, july 2 0 1 1, standing in a maelstrom, poncho, justify, interference, two men hugging, mud on face, compression",me trying to wake up2.csv
0110.png,"there is a dog that is standing on a bag by the water, still from the film, black metal band logo, feathers growing from arms, margiela campaign, loosely cropped, horse laying down, motion and action and tragedy, cover image, exhibition catalog, creative commons attribution, captura, twitching and writhing, ( ivory black ), chaotic swirling ferrofluids",me trying to wake up2.csv
0034.png,"there is a man sitting on a bench holding a cup of coffee, floating drowned, movie grain, eminem, restored, white baseball cap, still image from the movie, crossing the river, two still figures facing camera, clowns boxing",me trying to wake up2.csv
0125.png,"there are two people playing frisbee in the sand, film still of manny pacquiao, inspired by Hannah Höch, blurry image, that violence breeds violence, running towards the camera, grainy black and white footage, photograph captured in a forest, film screenshot, running and falling on clouds, yoshitaka amano photorealistic, movie scene portrait closeup, artforum",me trying to wake up2.csv
0001.png,"there is a man walking with a dog on a beach, chaotic swirling ferrofluids, rotoscoping, gareth pugh aw 2 0 1 1, blurred detail, in the middle of a lake, protagonist in foreground, berets, wearing black overcoat, fishmen, aliasing visible",me trying to wake up2.csv
0006.png,"there is a man walking with a dog on a cobblestone street, beyonce as the pope, zoom blur, heavy filmgrain, white tunic, running towards the camera, dancers, arms outstretched, loosely cropped, restored photo, tear gas, creative commons attribution, aspect ratio 16:9, icon black and white, basil flying, satoshi con",me trying to wake up2.csv
0122.png,"there are many people that are playing baseball together in the dirt, photography of charline von heyl, widescreen shot, attack zombie during worldwar 2, cinematic. futurism, creepy child, distorted photo, bladee from drain gang, gestural, merged, arm",me trying to wake up2.csv
0008.png,"several people laying on the ground with their feet up, inspired by Antanas Sutkus, shintoism, blurred detail, vatican, screenshot from the anime film, round-cropped, cobblestone streets, riyoko ikeda, rippling water, 35mm photograph, triumphantly",me trying to wake up2.csv
0074.png,"they are playing frisbee in the street with a man in the air, bladee from drain gang, spooky netflix still shot, in a fighting pose, size difference, grey robes, khomeini, by Jeremy Geddes, no face mask, pictured from the shoulders up, white helmet, squashed",me trying to wake up2.csv
0073.png,"they are walking in the street with umbrellas and a man holding a woman, kitbashing component, real steel ( 2 0 1 1 ), torn fabric, technology flight suit, motion photo, real life photo of a syrian man, two legs, moviestill, exoskeletton, ar, running freely, fencing, view is centered on the robot, renaissance fair",me trying to wake up2.csv
0056.png,"there is a woman kneeling down petting a horse in the dirt, capital of estonia, still from nature documentary, derpy, inspired by Baiōken Eishun, acrobatic moveset, wearing facemask, extremely long thick blond hair, angry and helpless, digital screenshot, he has a devastated expression, ibex masters, hugging each other, olympic diving springoard",me trying to wake up2.csv
0087.png,"there are two men doing a handstand in a crowd of pigeons, japanese school uniform, spooky netflix still shot, rick owens, little boy wearing nun outfit, laying on their back, key is on the center of image, stomping, beaten, shoulders can be seen, gif, clogs, in muddy medieval village square, quito school, dynamic folds, 2014",me trying to wake up2.csv
0109.png,"there is a man sitting on the beach with a cat and a bag of trash, inspired by Andrei Rublev, hajime no ipo box fight, videotape still from 1985, holding a white duck, combat and adventure photography, anamorphic film, season 3 ( 1 9 9 7 ), editorial photo from magazine, on a lake, swan",me trying to wake up2.csv
0051.png,"there are three people laying on the ground with pigeons, japanese rural town, facial precision, slightly out of focus, kids, the hair reaches the ground, kids playing at the beach, & they all look terrified, bird legs, haymaker impact, best shot, fauns, twister",me trying to wake up2.csv
0080.png,"several people are playing baseball in a parking lot with a bat, inspired by Jang Seung-eop, techwear!! intricate, 2014, horsemen of the apocalypse, screencap, white metal armor, hooded figures, high kick, header, white cyc, hammers, blurred",me trying to wake up2.csv
0023.png,"they are two men playing frisbee in the water, japanese streetwear, close up 1 9 9 0, closeup of fist, torn shirt, aspect ratio 16:9, running towards the camera, tom morello, by Terry Marks, production still, loosely cropped, streetwear fashion, playing soccer, weird stylish avant garde epic, syd, 2000, legends",me trying to wake up2.csv
0107.png,"there is a man laying on the beach with a frisbee, 1950s korean thriller film noir, full image, turbulent lake, may 6 8, inspired by Paul-Émile Borduas, tickle fight in the death tent, trending on artforum, battle action shot, assamese aesthetic, dvd package, videotape still from 1985",me trying to wake up2.csv
0100.png,"there are two people playing baseball on the beach with a dog, including a matador & a bull, noisy film grain effect, ouch, youtube video screenshot, pinguin, battle pose, kneehigh boots, fig.1, white and black color palette, clown, there is a place in wales, shot on anamorphic lenses, # film",me trying to wake up2.csv
0058.png,"there is a man falling off a horse in a dirt field, ibex masters, wearing a haori, blue - ray screenshot, start of the match, awarded winning photo, raw file, bag over the waist, still frame from a movie, kemono, trampled, woman in a sheep costume, agile, medival, by Kawai Gyokudō",me trying to wake up2.csv
0089.png,"there are two people that are playing baseball in the dirt, choreographed fight scene, inspired by Francisco de Zurbarán, the hair reaches the ground, film screenshot, cloth simulation, black and white image, wearing a white folkdrakt dress, yoshitomo nara, high definition screen capture, tonal topstitching, headcrab, festival, circle pit",me trying to wake up2.csv
0024.png,"martial couple in black and white photo jumping in water, 1 9 8 6 movie screenshot, close-up fight, white tunic, frank weston and gustave baumann, white daoist robes, cuban revolution, loosely cropped, meme template, neo-primitivism, cutscene, in the air, two men",me trying to wake up2.csv
0135.png,"there is a man that is throwing a frisbee in the water, a portrait of issey miyake, close up 1 9 9 0, aspect ratio 1:3, torn shirt, dressed in white robes, industrialpunk papier - colle, loosely cropped, eguchi, running, ben ridgway, 1990's photo, postpunk",me trying to wake up2.csv
0011.png,"there are two sheep that are laying down on the ground, an example of saul leiter's work, nanocarbon-vest, blurred detail, photograph of the city street, light micrograph, workers, aspect ratio 16:9, closeup photograph, paris 2010, 1964, tesselation, inspired by Adriaen van de Venne",me trying to wake up2.csv
0016.png,"three men in white uniforms are playing a game of baseball, inspired by Alberto Burri, capoeira, 70mm film screenshot, man in adidas tracksuit, by Antoni Pitxot, people on the ground, technouveau, detail on scene, white daoist robes, twelve arms, old photobook, 2000, tilt blur",me trying to wake up2.csv
0132.png,"there is a man that is standing in the dirt with a frisbee, inspired by Li Shida, wearing hakama, filmgrain, sprinting, 1968, wearing torn white cape, loosely cropped, still from a music video, close-up fight, monocolor, captura, trampled",me trying to wake up2.csv
0018.png,"there is a man that is standing on a ledge with a bat, filmgrain, in a desert oasis lake, floating bodies, afrofuturist, white cloth in wind shining, interconnected human lifeforms, still from l'estate, mohamed chahin, laying on sand, captura, drowning, ashes",me trying to wake up2.csv
0064.png,"there is a man that is throwing a frisbee in the street, kent monkman, vfx movie closeup, dog, tribal style, epic stance, inspired by Nara Yoshitomo, wearing facemask and sunglasses, the third horseman, 144p, inspired by Eugène Boudin, he has boots",me trying to wake up2.csv
0063.png,"there is a man falling off his skateboard in the air, medieval leather armour, dvd screencapture, shipibo, 17th century dutch attire, white and black clothing, flying cow, 1 / 5 0 0 shutter speed, 2 0 1 4, wearing hakama, torn fabric, horse racing, 1666, collapse",me trying to wake up2.csv
0072.png,"there is a man holding a child and a dog in a parking lot, wearing torn clothes, as a tornado approaches, 16k upscaled image, legs replaced with human legs, saving the day again, poncho, falling off a cliff, chupacabra, reuniting, firefighter, exploitable image, several layers of fabric",me trying to wake up2.csv
0009.png,"there are many birds that are walking on the ground together, film still of manny pacquiao, by Alexander Rodchenko, rome, screenshot from the 1983 film, laying on the ground, wearing white robes, blurry photography, rome backdrop, bjork aesthetic, falling petals, live-action archival footage",me trying to wake up2.csv
0075.png,"several people are fighting with a skateboard in a parking lot, apocalypse wedding, filmstill, white helmet, 2 0 1 4. modern attire, inspired by Hendrik Willem Mesdag, ripped clothes holding whip, poncho, yuya nagai",me trying to wake up2.csv
0007.png,"there are two boys playing with a frisbee on a cobblestone street, 1960's olympics footage, by Ryoji Ikeda, loosely cropped, bodies on the ground, polish movie poster, dressed in white robes, crossing the river, film still from the movie, paris 2010, trampled, moviestill, low shot",me trying to wake up2.csv
0123.png,"there are two people sitting on a beach with a surfboard, old distorted camcorder video, omori, in focus face, after a riot, in foreground boy with shotgun, on a boat on a lake, brutal joyful face expression, tribe members chasing, still frame, corrected faces",me trying to wake up2.csv
0124.png,"there is a woman holding a baseball bat on a field, inspired by Hans Bellmer, the photo was taken from a boat, 1970s philippines, falling out of the face, still from the movie the arrival, rope bondage, closeup of the face, panoramic anamorphic, creative commons attribution, mudoken, maya deren",me trying to wake up2.csv
0000.png,"there are two people walking on the beach with umbrellas, still frame from a movie, decorative dark blue clothing, data bending, running from bear, le corbusier, crossing the river, 2014, coat pleats, he is wearing a trenchcoat, elliot anderson, stylised storm",me trying to wake up2.csv
0098.png,"there are two dogs playing baseball on a field with a ball, ride horse in saharan, asencio, in style of joel meyerowitz, the devastating wise goat, football mascot, in a race competition, nazare (portugal), black and white color scheme, blurry image, creative commons attribution, by Gertrude Abercrombie, male jester, capoeira, pembrokeshire",me trying to wake up2.csv
0049.png,"there are two people that are playing frisbee on the ground, epic wrestling combat, 8 k hd dof, deblur, hermann nitsch, mud, man dressed as a chicken, accidental renaissance, blurry image, legs intertwined, goats, yuuki hagure, twister, \'the end, turnado",me trying to wake up2.csv
0111.png,"there is a man in a hat and a shirt on a skateboard, béla tarr, battle action shot, loosely cropped, dakar motorbike, # film, black pulcinella mask, jacques - yves cousteau, falling off a cliff, police shot, headless, still image from the movie, by Ben Enwonwu",me trying to wake up2.csv
0035.png,"there is a man that is holding a baseball bat and a person that is laying down, cinematic mid shot fight, by Ma Quan, ultra realstic, visor over face, white and grey, mma, ripped fabric, 2 0 1 9 anime screenshot, robbery, episode, 6, effect, by Fernando Amorsolo, neck, sucker punch, realistic - n 9",me trying to wake up2.csv
0032.png,"there is a man that is throwing a frisbee in the street, a portrait of issey miyake, speed blur, androgynous person, dance, he is wearing a top hat, still from loki ( 2 0 2 1 ), loosely cropped, by Marion Ancrum, running at the edge of space",me trying to wake up2.csv
0116.png,"there are many people riding on a motorcycle in the street, the seventh seal, film still of joe biden, ponyo hayao mitazaki, looks like domhnall gleeson, on a boat on a lake, horror photo, wearing white robes, august 1968, chris farley, 1960's olympics footage, highly realistic photograph",me trying to wake up2.csv
0091.png,"there is a man that is laying on the ground with a sheet, including a matador & a bull, video art, by Denis Eden, tonal topstitching, dvd screencapture, women fighting men, birds flying, festival, noire photo, xision, 2 0 1 1, real life image, blog-photo, bolero, rituals",me trying to wake up2.csv
0040.png,"they are playing baseball on the field in the rain, anamorphic, mime, 2010, white lava, agile, experimental techniques, realistic skin color, in black uniform, blurred detail, volcanic, quadruped, japanese streetwear, low resolution sync, episode, collapse, bending down slightly, png, marathon",me trying to wake up2.csv
0118.png,"there are many birds flying around a man throwing a frisbee, black and white film grain, still from the mandalorian show, in a gladiators arena landscape, lacrosse player, pictured from the shoulders up, shot on anamorphic lenses, 2009, chaotic atmosphere, renaissance painting of a knight, brine lacrosse stick, digitally remastered, mad max fury road style",me trying to wake up2.csv
0096.png,"there is a man that is playing with a dog on the field, inspired by Antonio Saura, #cameldeath, combat photography, pigs, ir, that violence breeds violence, giant kicking foot, markets, rituals, tamandua, photo from a spectator, anamorphic, on his hind legs, archillect, close-up fight, cursed images",me trying to wake up2.csv
0047.png,"several people are playing a game of frisbee on the beach, epic wrestling combat, feminist art, by Chinwe Chukwuogo-Roy, inspired by Romaine Brooks, reunion island, police state, the second… like a calf, movie frame still, in muddy medieval village square, tense",me trying to wake up2.csv
0076.png,"several people are playing with a snowboard in a parking lot, levitating twin nuns, rifles, ƒ/8, youtube video screenshot, by Lars Jonson Haukaness, wearing skirt and high socks, wearing japanese techwear, helmet visor smashed, battle action shot, running, 2013, inspired by Hendrik Willem Mesdag, fantasy shield",me trying to wake up2.csv
0071.png,"they are playing frisbee in the dirt with a dog, hyper - realistic vfx render, street fighter iv, high kick, elden ring, inspired by Lodewijk Bruckman, upsidedown, movie still of a tired, blond hair. ponytail, royal family during an argument, techwear fashion, drunk cowboy redhead long hair",me trying to wake up2.csv
0129.png,"there is a man and a woman playing with a dog, tarkovsky greatest scene, angel of verdun, by Zbigniew Nowosadzki, he is screaming, weather report, masterful composition, people on the ground, tropicalism, may 6 8, screenshot from a movie, of a river, headbanging, historical reenactment, 7 0 mm",me trying to wake up2.csv
0127.png,"there are two people that are playing baseball in the dirt, inspired by Peter Basch, anamorphic film, by Jack Smith, film still from avengers endgame, close-up fight, official screenshot, two women, swirling around, lossless, grainy black and white footage, the three marys at the sepulchre, midsommar - t, attacking",me trying to wake up2.csv
0003.png,"there are two cows that are standing in the water, still from the film, in thomas ruff style, black feathers, loosely cropped, black metal band logo, army of robotic penguins, dvd cover, black and white palette, shot on anamorphic lenses, ducks, wall ]",me trying to wake up2.csv
0004.png,"there is a dog that is laying down on the ground, ships with sails underneath, detailed - i, safehavenhq, denoised, swan, sbt, adele, motion still, banner, skins, inuit, in plastic, venice, liberation",me trying to wake up2.csv
0078.png,"several people in masks are playing baseball in a parking lot, glinting particles of ice, dynamic moving pose, sparring, silver metallic moncler jacket, swedish style, paintball world cup, stomping, beaten, gray scale, perfect dynamic body form, video still",me trying to wake up2.csv
0120.png,"several people are gathered around a man holding a frisbee, 70mm film screenshot, mid-transformation, drowning, fractured, in foreground boy with shotgun, hypersurreal, circa 1958, blurred detail, still image from tv series, children playing at the beach, wearing transparent glass mask, chris cunningham, rippling, aspect ratio 16:9, whirlwind",me trying to wake up2.csv
0031.png,"there is a man that is playing tennis on the court, inspired by Bruce Nauman, still from film, t pose, grisaille, woo kim, warp, still from l'estate, zoomed, meme template, rhythmic, 8 h, ( ( dithered ) ), screenshot from a movie, toph bei fong, salvia, dancer, running freely",me trying to wake up2.csv
0115.png,"there is a young boy that is playing with a frisbee, hyperrealistic movie filmstill, petscop, 1 9 6 4, refugees, cgi cutscene, subject detail: wearing a suit, american civil war, drowning, loosely cropped, old distorted camcorder video, cgi society",me trying to wake up2.csv
0112.png,"there is a man riding a motorcycle on the beach with a dog, rick owens, shot onfilm, tubing, stillframe, crossing the river, photo still of behind view, platinum blond, man in horse costume, eminem, david rudnick, black and white with mixed noise",me trying to wake up2.csv
0036.png,"they are two men playing frisbee on the beach, intricate hakama, 4k greyscale hd photography, in a fighting pose, 2009, still from a music video, stomping, hyper realistic faces, aspect ratio 16:9, fisting monk, whirlwind, robe. perfect faces, kakejiku",me trying to wake up2.csv
0095.png,"there is a man kicking a panda bear on a baseball field, inspired by Sergio Larraín, steel bull run, photo 3 5 mm leica, zun, that violence breeds violence, round-cropped, trending on artforum, bluray image, monochromatic photo, macabre, kicking, capirote, football mascot, dead alive (1992)",me trying to wake up2.csv
0044.png,"there is a man laying on the ground with a dog, in a gladiators arena landscape, man dressed as a chicken, in the zoo exhibit, fighting each other, white and black clothing, deblurring, professionally color graded, episode, demolition, july 2 0 1 1, black swans, viking attire",me trying to wake up2.csv
0038.png,"several men in white uniforms are playing baseball on a field, including a matador & a bull, detailed close foot shot, inspired by Sergio Larraín, featured on unsplash, tocchini, marrakech, archillect, wearing a linen shirt, slam dancing, kneehigh boots, oud, 2 0 1 0 s, shot on anamorphic lenses",me trying to wake up2.csv
0092.png,"there are two men standing around a man with a blanket, eiko hosoe, people on the ground, torn cape, kid, red sand, genshin, fly, inspired by Li Rongjin, violencia, blurry image, flying rituals, traverse",me trying to wake up2.csv
0043.png,"there is a man kneeling on the ground with a baseball glove, epic wrestling combat, 8 k hd dof, tsubasa chronicles, from the sandman netflix show, gray shorts and black socks, looks like fabiula nascimento, medieval times, inspired by Okada Beisanjin, deblurring, white and black clothing, shoulders can be seen",me trying to wake up2.csv
0052.png,"several people laying on the ground with a dog and a frisbee, fourze, face covered in dirt, horses racing, blue shorts, deblur, the hair reaches the ground, zhongli from genshin impact, three heads, cursed images, raw file, moebious, reclining, wet mud, tubing, keita morimoto, thighs",me trying to wake up2.csv
0083.png,"several men are playing baseball in a dirt field with cows, rick owens, dvd screencapture, wearing hakama, yinyang shaped, people falling off a playground, white and blood color scheme, mma, still shot, helmets, 2013, tables, clogs",me trying to wake up2.csv
0055.png,"there is a woman kneeling down to pet a dog on the ground, epic wrestling combat, peru, facial accuracy, made in 2019, naturalistic technique, safari background, neil breen face, soft blur background, the devastating wise goat, by André Castro, russian national guard, advanced technique, poncho, csp, screaming in agony",me trying to wake up2.csv
0084.png,"several people are playing a game of frisbee in a parking lot, chaotic riots in 2022, spades slick, battered, —n 9, battle action shot, july 2 0 1 1, blackness, by Frank Mason, still frame from a movie, inspired by Bruce Davidson, ceremony, white shirts, pictured from the shoulders up, slums",me trying to wake up2.csv
0029.png,"there is a young boy that is standing in front of a wall, 2 0 2 1 cinematic 4 k framegrab, in style of juergen teller, inspired by Chinwe Chukwuogo-Roy, unblur, solid gray, bangkuart, singapore ( 2 0 1 8 ), muralism, textures. com, by Gerard Sekoto, moviestill",me trying to wake up2.csv
0103.png,"there is a man that is laying on the ground with a frisbee, eiko hosoe, riichi ueshiba, collapse, by John Cale, -h 960, loosely cropped, wearing golf shorts, jfk, anthropomorphism, # film, may 6 8, panda, inspired by Irvin Bomb, his body buried in the sand, crash",me trying to wake up2.csv
0027.png,"there is a man that is throwing a frisbee in the water, by David Firth, inspired by Roger Ballen, battle stance, ƒ/8, realistic face and body hybrid, long boi, still from movie dune, fursona, punching, discord moderator, fisting monk, jar jar binks, shot on anamorphic lenses, fig.1, wide neck",me trying to wake up2.csv
0020.png,"there is a man laying on the ground with a tie on, cinematic film still, by Jack Smith, white floor, captura, thom yorke, archival quality image, some zoomed in shots, uncropped, documentary style",me trying to wake up2.csv
0104.png,"there is a dog that is playing with a person on the beach, cow, inspired by René Burri, knockout punch, ebay photo, aikido, by Mariotto Albertinelli, loosely cropped, the second… like a calf, hajime no ipo box fight, tom jobim, bite, random cows, michel - ange, 2",me trying to wake up2.csv
0015.png,"there are many people laying on the ground with their feet on the ground, still frame from a movie, akira yasuda, somewhere in sands of the desert, abstract human figures dancing, taken in the late 2010s, at the seaside, windy day, violence",me trying to wake up2.csv
0131.png,"there are two people that are playing baseball on the field, inspired by Alberto Burri, film screenshot, stepping stones, photograph taken in 1989, blurred detail, chaotic sea setting, anamorphic film, workers, paris 2010, liege, graham ingels, war theatre, 1990, monochrome lomography, rocky shore, waterfall in background",me trying to wake up2.csv
0069.png,"they are playing with a teddy bear in the middle of the street, remote icelandic village, wwe, full-cosplay, at a park, in the style of sifu 🔥 😎 🕹️ 👀 :2, brienne of tarth, realistic cosplay, extreme motion blur, gravity is strong, argentina, beuteful",me trying to wake up2.csv
0136.png,"there is a man kicking a soccer ball on the field, rotoscoping, inspired by Fra Angelico, rugs, in a ruined cityscape, 2 0 1 9 anime screenshot, head straight down, 144p, red and blue garments, olympics, historical reenactment, aliased, movie still of a tired",me trying to wake up2.csv
0012.png,"several people in white robes are doing yoga on the ground, inspired by Sergio Larraín, gwanghwamun, close up 1 9 9 0, black and white color photograph, capoeira, folklore, by Kanō Sanraku, white shirts, archillect, from touhou, may 6 8, connectedness, nomadic",me trying to wake up2.csv
0138.png,"there are two men walking in the water with a surfboard, wings of a swan, aspect ratio 1:3, pure grey fur, (jean jules linden), with white fluffy fur, diptych, canon 2 0 0 mm, the kiss, movie screen shot, 2 0 0 mm telephoto, loosely cropped, rotoscope, monotone, swan",me trying to wake up2.csv
0060.png,"there are two people playing soccer with a dog on the field, tibetan skeleton dancer, thigh focus, zigor samaniego style, falling out of the face, black leather boots, inspired by Tawaraya Sōtatsu, closeup of fist, dvd screencapture, face shown, tlaquepaque, tiktok, ultra realistic 8 k, zun",me trying to wake up2.csv
0067.png,"there is a man holding a young boy on his back, doing a kick, teal color graded, doraemon, horse racing, minor blur, gory, which goes near the ground, poncho, masqua, camera footage, former, beaten, lower quality, fracture",me trying to wake up2.csv
0093.png,"there is a black and white photo of a boy hitting a baseball, including a matador & a bull, unsplash, dennis velleneuve, long cloths red like silk, people on the ground, discord, aggresive, kicking, taurus, frontpage, loss, arcane netflix, 2000",me trying to wake up2.csv
0042.png,"there is a man that is kneeling down to a base, epic wrestling combat, quito school, white colors, high waist sweatpants, white moon in the background, folklorico, his clothes are torn and dirty, gay, high definition screen capture, round-cropped, [ metal ]",me trying to wake up2.csv
0094.png,"there is a black and white photo of a baseball player throwing a ball, from netflix's arcane, monk clothes, close-up fight, people dancing in background, woolen torso in medieval clothes, doing a kick, photo taken on an old box camera, fisting monk, 2010, film screenshot, renaissance fair, zigor samaniego",me trying to wake up2.csv
0045.png,"there is a man and a woman playing frisbee in the dirt, epic wrestling combat, market in japan, rooster, man is terrified, extreme motion blur on people, bingus, shows a leg, masterful composition, humanity's last sacrifice, holding a rabbit, cursed, hold",me trying to wake up2.csv
0039.png,"several men in white suits are walking on a street, horse is up on it's hindlegs, blurred detail, anamorphic 5 0 mm lens, males and females breakdancing, inspired by Eugène Boudin, wears brown boots, 2 0 1 4, race footage, closeup view, digital screenshot, dancer, white muzzle and underside",me trying to wake up2.csv
0113.png,"there is a woman standing next to a body of water, vintage footage on tokyo streets, inuit, by Jack Smith, young boy, pictured from the shoulders up, wearing torn white cape, 1 : 1 aspect ratio, diaper-shaped, production photo, very grainy film, gray anthropomorphic, agony and suffering",me trying to wake up2.csv
0037.png,"there are two men that are kicking a ball on the street, wearing hakama, blurred detail, by Marina Abramović, white hue, white and orange breastplate, loosely cropped, clowns boxing, pictured from the shoulders up, black and white color, captura, fisting monk, poncho, widescreen shot, nazare (portugal), website banner",me trying to wake up2.csv
